Datetime,Document1,Document2,Document3,Document4,Document5,Document6,Document7,Document8,Document9,Document10,Document11,Document12,Document13,Document14,Document15
1/6/2018 0:44,ranksmen,ravelly,rank-and-filer,rancored,ratifications,ramequin,rapes,Ranita,Ranita,rampire,rarifying,raved,rappe,ramule,rancio
1/6/2018 0:44,ravagement,Ramaite,rat-riddled,razeing,Rapallo,ratoon,rapturous,Rapaces,raps,rattleproof,rancours,rampacious,Ramean,rawer,rammack
1/6/2018 0:45,rarified,rampick,razeing,Randia,rambles,ranny,RAS,rattletybang,Rattray,rampageously,rall,ransomfree,rambunctiousness,ravings,raspiness
1/6/2018 0:45,ratableness,rampageously,Rawl,rallyist,Rapateaceae,rancid,raspingly,rattlesnakes,rapidly,raps,rattling,ramesh,ransomless,ratch,ravelled
1/6/2018 0:46,rankers,rang,rawnie,razor-bill,raviney,ramifying,ramososubdivided,raphidiid,rampage,Raleigh,Rap,rationalizes,rapturously,raucousnesses,razor-backed
1/6/2018 0:46,rationalizer,Rancagua,RAMC,rashing,Ranchester,rapscallionry,rash-minded,ratan,ratifier,raspberriade,rasty,ramparting,ramies,rakehells,raisin
1/6/2018 0:47,Rangeley,rampion,rationalistic,rank-and-filer,ramshorns,Ravenel,Ramwat,ratheripe,rattleheaded,razeeing,rapier,rastafarianism,rapture-breathing,Ramage,rawin
1/6/2018 0:47,rancorous,raukle,rasamala,rapier-proof,raisings,rapture-smitten,ranging,Rambert,rash-pledged,rationalizes,ratal,Rawlins,rattletraps,Ramean,rakingly
1/6/2018 0:48,Raskin,ratites,raughty,ranis,Rajkot,Raphia,randomizes,ranstead,rapid-flying,Rasure,ratios,rationed,Raytheon,ravigotes,ravenduck
1/6/2018 0:48,rapaceus,rangership,ramus,rational,rancidly,RARP,randoms,rancescent,ratwa,ramilies,rapparees,rakehell,randans,rapturing,ratooner
1/6/2018 0:49,Rattus,Ranzania,rambure,rake,Rawdon,rarefactional,rale,ramoneur,rare-painted,ravining,raven-tressed,RAND,ramate,rationality,rascaldom
1/6/2018 0:49,rat-ridden,rangpur,raised,ransomable,ramoon,rationalised,rapture-rising,rancorous,ram's-horn,Ranella,ratiometer,RAN,rambunctiousness,rash-pledged,Randel
1/6/2018 0:50,rancours,rakehellish,ranchers,raw-head,rattener,rare-felt,Ranique,Rashomon,ramex,rank-out,rallying,rapidities,Ramman,raptus,rakshasa
1/6/2018 0:50,ratherest,ramiflorous,rajasic,ravings,Raoulia,ravenlike,rate-cutting,rashbuss,ramisection,rationalization,RATO,rancors,rambunctiousness,Ransomville,Ratitae
1/6/2018 0:51,randir,ranched,ratteners,Rayshell,rankle,ramark,Rashi,rational,rancidly,rasophore,rat-killing,rauriki,rasgado,rank-winged,rallyes
1/6/2018 0:51,Randite,raveled,rapport,rassasy,raphide,rassle,ratatouille,rampancy,ramifies,rapes,Raphidoidea,rampancies,rattiest,ramshackled,raviolis
1/6/2018 0:52,Rawlinson,razes,randon,Ralston,rapid-firing,Rathauser,rampageousness,rationless,rall,rapturous,Randell,Ravo,rammy,rancheria,ramp's
1/6/2018 0:52,ramentiferous,rawinsonde,rariconstant,Ramon,RATFOR,rathskeller,raisons,ranking,ramed,rationalizations,ravishedly,Rasselas,ratal,rangeland,ranny
1/6/2018 0:53,rapture-wrought,rapturize,ransacks,rammerman,Ravenswood,Ranier,rashnesses,random,rash-running,ratcher,rattleroot,rattish,raphus,rawnesses,ratihabition
1/6/2018 0:53,rancorous,ramforce,Ramaism,rapid-footed,rapid-speaking,Ravendale,Rawlinson,rambles,raptury,Ranit,ratsbanes,rancidified,ratans,Ramiah,Rapp
1/6/2018 0:54,raisin-colored,rat's-tail,rancer,rapists,Raywick,rane,rasse,Raviv,ranted,ravehook,ramblers,raspier,RASC,Rathdrum,rallyings
1/6/2018 0:54,rattlepate,Rann,rapports,rattleran,ravishing,ramblingly,raptest,rat-kangaroos,rancellor,randomish,rapier-like,RAN,ransacks,Raurich,rattleproof
1/6/2018 0:55,randomizations,ravaged,rappeling,raters,ratite,rassles,rattle,rapidities,Rapidan,Randle,randannite,Rancocas,rapping,Rapidan,rats
1/6/2018 0:55,Raphaelism,ramdohrite,RATFOR,Rajah,ramark,Ramona,ranny,ram-headed,rantepole,ratite,randomize,Ramsdell,ran-tan,raiseable,rapeseed
1/6/2018 0:56,Ranchi,raspers,ravined,rasp,Ravenden,rashness,ravelling,raunchy,Raviv,raxing,ransacking,ramiform,rantree,ramshorns,rappini
1/6/2018 0:56,raticocinator,raunchy,rationalists,Ranique,rakishness,Raleigh,ravenousnesses,raptatory,Ramah,ransomless,RAS,Rasalhague,rakehell,Rathdrum,rarebit
1/6/2018 0:57,rantankerous,ranchers,rangework,rascette,rakestele,rationalness,ransomable,randon,ranal,raspingly,rappeling,rationably,ramiform,rampantly,rare-seen
1/6/2018 0:57,Ramseur,rangy,rakishly,rap-full,Ranunculus,rap-full,rateableness,Rathbone,rancors,rationalizable,raved,rajoguna,rates,rash-hearted,Rattigan
1/6/2018 0:58,rankness,rakshasa,Raphiolepis,rattletybang,rangeman,Rajendra,rash-brained,ratsbane,ramark,rakhal,Ralfston,rapiered,Ralli,rash-levied,Ratisbon
1/6/2018 0:58,Rameseum,rapid-changing,Ravenna,ravenous,Raskind,ratton,rationed,rashnesses,ramrod,ratherly,ramming,rane,ramesh,ratholes,raw-colored
1/6/2018 0:59,Rastafarian,rallery,Rawlings,Rasalhague,ran-tan,Ravenden,Rank,rattlingly,Rammohun,rap's,rave,rastik,Rawl,raw-looking,Rance
1/6/2018 0:59,raw-mouthed,Raphael,rankle,ration,rajaship,rattler,rattlesnake-bite,rap's,rapture-wrought,rancour,ravenish,Ranunculus,rapture-moving,raisonne,raked
1/6/2018 1:00,raviney,Rawalpindi,razorable,rapid,Ravenala,raucousnesses,rasty,rates,Ravenna,randomizer,rat-riddled,rascalion,rat's-tail,Rawlings,Rascal
1/6/2018 1:00,razorback,Raphidodea,rapprochements,ravaged,rariety,RAOC,Randel,rappe,rawhead,rantankerous,ramentum,rashing,rata,Rascal,raiseman
1/6/2018 1:01,Raphael,raking-down,Raurich,ratliner,rantankerous,ratan,rationalizer,rallycross,ramparted,ramular,ravison,Ramwat,raptures,raniferous,raise
1/6/2018 1:01,rankling,ranids,rapscallionly,Ravenel,Randers,rake-hell,rangework,ramps,Rawsthorne,Ratitae,rapidity,ransacks,Ransell,rappini,Randite
1/6/2018 1:02,random-jointed,rambong,raw-boned,ratiocinations,rampaged,rantree,Rashid,raunchily,rattlebones,rarefiers,rapier-proof,ranpike,ray-strewn,rarefiers,Ranjiv
1/6/2018 1:02,ratproof,raphias,ravenousnesses,rappini,rapakivi,Rashi,Randal,razees,ratifies,Randel,rawly,rake-hell,ranking,ranis,rapier-like
1/6/2018 1:03,rampant,Rancagua,rappini,Raphaelite,Rapp,Randee,rapper,ratableness,rapid,Rasputin,rauli,rattlesome,Rattan,rattlehead,Raphiolepis
1/6/2018 1:03,randomizations,rave,rax,rattooning,razes,Randsburg,rampageous,ratteens,raspings,ravened,rambooze,ramiflorous,Ranburne,raptorious,ratbaggery
1/6/2018 1:04,ranchlands,ramark,Rarotongan,ratchety,Rajiv,rapidity,raw,rasceta,raving,rambler,ratfinks,randomizations,ramass,rangdoodles,rapakivi
1/6/2018 1:04,rawishness,rales,ransacked,rathite,ratable,raun,rankett,Ratisbon,Ralegh,ratafia,raphe,Ramaite,rapacity,ravine's,rareripes
1/6/2018 1:05,rattlers,raving,rationalization,rationalized,raper,ramets,ratoon,ravened,raiser,rave-up,rate,rallyes,ramenta,rampion,rattleskulled
1/6/2018 1:05,rat,Ramistical,raver,rarefactions,Ratitae,rancelman,Ramo,Ravo,ranged,Ravenel,Ramadan,rangatira,rakely,Ravenala,ratemeter
1/6/2018 1:06,ranching,ratifia,rawishness,Raman,razed,ravinement,rat-stripper,Ranchi,Ramsey,rat-riddled,raisers,Raphaelitism,rancheros,rat-infested,raniferous
1/6/2018 1:06,ravish,Randallstown,ratsbane,rakeful,rampions,Rajab,ravishers,Ramiah,rakishnesses,rank-grown,Ramanandi,raster,rattlepod,raughty,rat-lin
1/6/2018 1:07,Rawson,rantankerous,RAOC,rationed,ramicorn,raiser,razing,ranomers,rapers,ranges,Randallstown,ravers,rampages,ratings,rateability
1/6/2018 1:07,Ravens,rajahs,Ramah,rare-bred,Rawsthorne,ratfink,ramta,ransacked,ramadoss,Rammohun,raphes,rat-tail,rare-gifted,rationals,Ramsden
1/6/2018 1:08,raptly,razes,rascacio,Raphidiidae,raw-head,rampions,ranklingly,rampant,Ramadoux,Rap,ravenhood,rascalities,ratemeter,ranpike,rameous
1/6/2018 1:08,raised,Randolf,Ranzania,Rallus,Raskin,raticide,rank-scented,Rape,ratiocinant,ravins,Rapelje,Rameseum,rathite,rational,Rallus
1/6/2018 1:09,rangeman,rami,raxed,ratsbanes,ravage,ratcatching,rambles,Ravenswood,rapidness,rantipole,ranknesses,ratchety,ratooner,rat-tat,raspingly
1/6/2018 1:09,ravingly,Rastafarian,ramlike,raxing,rakishness,rapidity,rappe,ranis,ransomers,raphania,ravigote,raveningly,rashbuss,rapid-flying,ramentiferous
1/6/2018 1:10,Rauschenbusch,Ralli,rallye,ratiocinate,ramblingness,Ravo,ralliers,Ranie,Ramachandra,raising,rationless,rat-faced,ransomfree,rank-minded,raven-plumed
1/6/2018 1:10,rave-up,raunchiness,Ramsgate,rambooze,ravindranath,ramiro,Raphidodea,raspingly,ransomed,rattooned,rarefiable,rangers,rapilli,ramshorns,rattle-bush
1/6/2018 1:11,ramosities,ramparts,razeing,rasp,rangler,raw-ribbed,Rangeley,rattrap,rat-gnawn,rakesteel,rands,Ramage,rave,Randa,rasher
1/6/2018 1:11,ravine's,Randsburg,Rawlins,rathripe,ratchety,Rajkot,rakestele,rarity,rasen,rapscallionly,raughty,Randolf,rat-a-tat,ratches,ratwood
1/6/2018 1:12,ramdohrite,ratchety,raptatorial,Rangely,Rasla,ratably,rateless,Ravenwood,rathite,razorbill,ramack,rapide,rampike,ravison,Rambouillet
1/6/2018 1:12,ralstonite,rank-out,Rallidae,Rambow,ravenling,Ransomville,Randall,Randal,Ratitae,ranches,Ravenden,ratatat-tat,rapeseeds,raspings,ravindranath
1/6/2018 1:13,rationalization,ratooners,rakeoff,raveller,rambunctiousness,Randallstown,rake-hell,ramplor,RAMP,ramble,ranunculuses,Ranella,raisonne,rateable,ravingly
1/6/2018 1:13,rajesh,rassasy,ramblers,rateable,rating,rankle,rat-tat,rappage,rammers,rationable,raucity,rasion,ratoons,rapped,Rasputin
1/6/2018 1:14,rampantly,rallying,rattlesnake's,rampager,ravined,RARDE,rare-shaped,ravined,ransoming,raphidiferous,ramex,rat-deserted,razees,Ramee,rammass
1/6/2018 1:14,ran-tan,raxed,ravines,ramrod,rantepole,rattle-bush,ranomers,raunpick,ramigerous,rat's,rapturousness,ratchet,rapture-touched,raison,ranforce
1/6/2018 1:15,ranjit,Ramey,rapidity,Raleigh,rawhider,rash-pledged,Raj,Raphael,ratooned,rase,ravinate,rakit,rattleproof,ramanas,ramule
1/6/2018 1:15,ralphs,rammers,Rambo,raticide,rancidities,rat-infested,ramtil,Ramos,Ratib,ratlins,rankett,ratting,raspatory,ranchwoman,rampant
1/6/2018 1:16,Rajah,rapier,Rama,rajahs,raven-torn,rate,raveners,rawishness,raspatorium,randomizer,rash-thoughted,ravellers,Ransom,rascalities,raw-head
1/6/2018 1:16,Rama,ravenish,Ramphastos,rawnie,Ramsay,ramshackly,raphae,ravagement,rattans,ratooner,rattails,rampancy,rammage,Ranidae,rate-cutting
1/6/2018 1:17,raven-tressed,rat-tattle,rambong,rareness,Raphidoidea,RARDE,Randallite,Ramphastidae,ramshackle,rapidity,ratted,rapist,RATFOR,raucid,rampart
1/6/2018 1:17,rambler,ravishedly,ransacks,rattlepod,raw-wool,Ramsey,ramososubdivided,raison,Ransome,ramequins,Rareyfy,rancho,rapid-flying,raise,ravishingly
1/6/2018 1:18,ravisher,rascally,rameous,rasse,Raoul,ratherish,ravindran,ratchelly,Ratib,Rastaban,rapiered,Rakia,rajasic,rascallion,Raoulia
1/6/2018 1:18,ramble,rarely,raisings,ramify,rank-scented,rangiest,Ravenala,Raveaux,rash-spoken,Randy,rapture-bursting,raveners,ramped,razeing,rapidamente
